id,case_id,name,model,source,global_clipiqa,global_topiq,global_clipiqa_delta,global_topiq_delta,roi_clipiqa,roi_topiq,roi_clipiqa_delta,roi_topiq_delta,proxy_score,screening,visual_status,raw_roi_clipiqa,raw_roi_topiq,outside_changed_channels,protected_changed_channels
case38_facade_fftformer_realblur_j_from_original,38,facade,fftformer_realblur_j,original,0.32815417647361755,0.43516799807548523,-0.026852667331695557,-0.0002987682819366455,0.12297866493463516,0.25949862599372864,-0.25017278641462326,-0.14909011125564575,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.1343531757593155,0.2122209370136261,0,0
case38_facade_fftformer_realblur_j_from_h200,38,facade,fftformer_realblur_j,h200,0.3564365804195404,0.4406147599220276,0.001429736614227295,0.005147993564605713,0.47670459747314453,0.5006785988807678,0.10355314612388611,0.09208986163139343,,VISUAL_REVIEW_REQUIRED,PENDING,0.4888422191143036,0.5084231495857239,0,0
case38_red_sign_fftformer_realblur_j_from_original,38,red_sign,fftformer_realblur_j,original,0.3465028703212738,0.43465760350227356,-0.008503973484039307,-0.0008091628551483154,0.2009262889623642,0.23478767275810242,-0.19610686600208282,-0.14456665515899658,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.23848505318164825,0.1724080741405487,0,0
case38_red_sign_fftformer_realblur_j_from_h200,38,red_sign,fftformer_realblur_j,h200,0.3541989326477051,0.436514288187027,-0.0008079111576080322,0.0010475218296051025,0.3836081922054291,0.3710850179195404,-0.013424962759017944,-0.008269309997558594,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.40398988127708435,0.36224037408828735,0,0
case42_lattice_fftformer_realblur_j_from_original,42,lattice,fftformer_realblur_j,original,0.4452742636203766,0.43965956568717957,-0.004255115985870361,-0.00270804762840271,0.16055582463741302,0.3137425482273102,-0.05372712016105652,-0.13178521394729614,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.14564846456050873,0.24717772006988525,0,0
case42_lattice_fftformer_realblur_j_from_h200,42,lattice,fftformer_realblur_j,h200,0.44860997796058655,0.4431232810020447,-0.0009194016456604004,0.0007556676864624023,0.19257497787475586,0.4654318392276764,-0.021707966923713684,0.01990407705307007,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.19556553661823273,0.46806177496910095,0,0
case42_red_sign_fftformer_realblur_j_from_original,42,red_sign,fftformer_realblur_j,original,0.4611341655254364,0.43999117612838745,0.011604785919189453,-0.0023764371871948242,0.23334327340126038,0.2341427505016327,0.05863812565803528,-0.17056748270988464,,REVIEW_SECONDARY_TRADEOFF,PENDING,0.22504737973213196,0.17745238542556763,0,0
case42_red_sign_fftformer_realblur_j_from_h200,42,red_sign,fftformer_realblur_j,h200,0.45094209909439087,0.443020224571228,0.001412719488143921,0.000652611255645752,0.19471322000026703,0.41816234588623047,0.02000807225704193,0.013452112674713135,,VISUAL_REVIEW_REQUIRED,PENDING,0.19075535237789154,0.4170711934566498,0,0
case38_facade_restormer_real_denoising_from_original,38,facade,restormer_real_denoising,original,0.33014196157455444,0.43580910563468933,-0.024864882230758667,0.00034233927726745605,0.13086754083633423,0.2692355811595917,-0.2422839105129242,-0.13935315608978271,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.14625738561153412,0.1856844127178192,0,0
case38_facade_restormer_real_denoising_from_h200,38,facade,restormer_real_denoising,h200,0.3492066562175751,0.43765097856521606,-0.005800187587738037,0.0021842122077941895,0.3561594486236572,0.4192405343055725,-0.016992002725601196,0.01065179705619812,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.35603511333465576,0.41625526547431946,0,0
case38_red_sign_restormer_real_denoising_from_original,38,red_sign,restormer_real_denoising,original,0.3430843651294708,0.43481436371803284,-0.011922478675842285,-0.0006524026393890381,0.1581370085477829,0.20740431547164917,-0.23889614641666412,-0.17195001244544983,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.19804176688194275,0.11827514320611954,0,0
case38_red_sign_restormer_real_denoising_from_h200,38,red_sign,restormer_real_denoising,h200,0.35151365399360657,0.4361096918582916,-0.003493189811706543,0.000642925500869751,0.32467183470726013,0.3521724343299866,-0.07236132025718689,-0.027181893587112427,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.3581600785255432,0.33510610461235046,0,0
case42_lattice_restormer_real_denoising_from_original,42,lattice,restormer_real_denoising,original,0.4485967755317688,0.43944522738456726,-0.0009326040744781494,-0.0029223859310150146,0.18340042233467102,0.29649618268013,-0.030882522463798523,-0.14903157949447632,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.17966735363006592,0.21221759915351868,0,0
case42_lattice_restormer_real_denoising_from_h200,42,lattice,restormer_real_denoising,h200,0.4480622410774231,0.44188204407691956,-0.0014671385288238525,-0.0004855692386627197,0.1805395781993866,0.4316764771938324,-0.03374336659908295,-0.013851284980773926,,KEEP_H200_PRIMARY_REGRESSION,PENDING,0.17663919925689697,0.43034809827804565,0,0
case42_red_sign_restormer_real_denoising_from_original,42,red_sign,restormer_real_denoising,original,0.45709893107414246,0.4412280321121216,0.007569551467895508,-0.0011395812034606934,0.18393786251544952,0.2383071780204773,0.009232714772224426,-0.16640305519104004,,REVIEW_SECONDARY_TRADEOFF,PENDING,0.17515502870082855,0.14906957745552063,0,0
case42_red_sign_restormer_real_denoising_from_h200,42,red_sign,restormer_real_denoising,h200,0.4544937312602997,0.4431515634059906,0.004964351654052734,0.0007839500904083252,0.23801688849925995,0.42984119057655334,0.06331174075603485,0.02513095736503601,,VISUAL_REVIEW_REQUIRED,PENDING,0.23406977951526642,0.4303198754787445,0,0
