image_id,psnr_input,psnr_hypir,gain,label
case1,32.02880115050813,29.335322996113593,-2.693478154394537,BAD
case2,28.189381483210912,24.213957929319086,-3.975423553891826,BAD
case3,35.62208169890386,28.865398205920037,-6.756683492983825,BAD
case4,18.056199318367533,16.352438762978853,-1.7037605553886799,BAD
case5,26.275636569082227,23.875815580161888,-2.3998209889203395,BAD
