feature,sensitivity_auc,eligible_images
clip,0.5106739174248417,2
dino,0.6539678822162052,2
fusion,0.592645284019893,2
fusion_lq,0.6165564156304741,2
stats,0.5486548019344915,2
stats_lq,0.37198380966719957,2
