image_id,patch_count,good_count,bad_count,bad_fraction,mean_patch_gain,median_patch_gain,adjacent_pairs,adjacent_same_label,independent_expected_agreement,agreement_excess
case1,713,0,713,1.0,-4.674287050341885,-3.61127206210962,1372,1.0,1.0,0.0
case2,713,23,690,0.967741935483871,-3.727054947063775,-3.0127199023415656,1372,0.9613702623906706,0.9375650364203956,0.023805225970275012
case3,713,0,713,1.0,-8.729084189740133,-7.964590142547067,1372,1.0,1.0,0.0
case4,713,1,712,0.9985974754558204,-1.6235096679146361,-1.6125832490300347,1372,0.9970845481049563,0.997198885061835,-0.00011433695687868006
case5,713,35,678,0.9509116409537167,-2.317450517498767,-2.068732406406447,1372,0.9387755102040817,0.906642615895147,0.03213289430893462
