image_id,domain,category,region_count,psnr_positive,majority_positive,psnr_gain,ssim_gain,lpips_gain,dists_gain
bsds_183055,synthetic_bsds,animal,4,0,0,-0.22194443157217414,-0.09965584427118301,-0.10819945484399796,-0.061695247888565063
bsds_187029,synthetic_bsds,people,4,0,0,-5.7256472175604785,-0.11134137213230133,0.03433866426348686,0.012256309390068054
bsds_188063,synthetic_bsds,people,4,0,0,-1.044776564647047,-0.020582959055900574,0.19272929802536964,0.07897153496742249
bsds_198023,synthetic_bsds,people,4,3,3,0.5288674679134204,0.1400180160999298,0.18170902505517006,0.03429614007472992
bsds_198054,synthetic_bsds,people,4,0,1,-6.008992813208561,-0.11159850656986237,0.0513536324724555,-0.001806989312171936
bsds_20008,synthetic_bsds,landscape,4,0,0,-0.3241858848449062,-0.08610789477825165,-0.08458513393998146,-0.05443193018436432
bsds_216041,synthetic_bsds,animal,4,0,0,-4.274901623122072,-0.11431222781538963,0.321600079536438,0.11085055768489838
bsds_225017,synthetic_bsds,vegetation,4,0,2,-1.145986941313474,-0.00716109573841095,0.2973700612783432,0.09848073124885559
bsds_23025,synthetic_bsds,people,4,0,0,-5.636040377014636,-0.197178453207016,0.17730354145169258,0.05056716501712799
bsds_23080,synthetic_bsds,people,4,0,0,-7.49224063863729,-0.18500610440969467,-0.03620690293610096,-0.007562711834907532
bsds_231015,synthetic_bsds,architecture,4,0,0,-0.4466551668577381,-0.24506178498268127,-0.14844369515776634,-0.08801963925361633
bsds_236017,synthetic_bsds,animal,4,0,0,-3.671040356502644,-0.1364375837147236,0.21189220249652863,0.06275193393230438
bsds_245051,synthetic_bsds,people,4,0,1,-2.1838992932642736,-0.01248149573802948,0.33244776725769043,0.11199410259723663
bsds_246016,synthetic_bsds,people,4,0,0,-4.555909453973613,-0.03732268512248993,0.06809076853096485,0.01809580624103546
bsds_249061,synthetic_bsds,landscape,4,0,2,-6.201093839882828,-0.1576123908162117,0.025124242529273033,0.009617656469345093
bsds_25098,synthetic_bsds,vegetation,4,0,0,-0.27582888718092313,-0.1362927109003067,-0.11833755113184452,-0.048876434564590454
bsds_253036,synthetic_bsds,animal,4,0,2,-4.091832319784289,-0.10089823603630066,0.06861405074596405,0.015969514846801758
bsds_254054,synthetic_bsds,architecture,4,0,0,-3.4381297675405893,-0.09946538507938385,0.45465101674199104,0.1037563681602478
bsds_27059,synthetic_bsds,landscape,4,0,0,-4.286603826571614,-0.12702707946300507,0.22804433479905128,0.0747690200805664
bsds_271008,synthetic_bsds,people,4,0,0,-5.62049011834025,-0.11313362419605255,0.008615672588348389,0.02972516417503357
bsds_274007,synthetic_bsds,architecture,4,0,0,-0.9204411539653679,-0.3399827852845192,-0.18399116024374962,-0.0701073706150055
bsds_286092,synthetic_bsds,people,4,0,0,-3.8664870931442463,-0.10720007866621017,0.15418128855526447,0.07067330181598663
bsds_309004,synthetic_bsds,animal,4,0,0,-2.883489722755799,-0.08427784964442253,0.5166463516652584,0.08774706721305847
bsds_311081,synthetic_bsds,architecture,4,0,0,-2.56452227877847,-0.08129701018333435,0.2846832424402237,0.055698901414871216
bsds_314016,synthetic_bsds,animal,4,0,0,-8.759322904867421,-0.3646818548440933,0.023129604756832123,-0.02611522376537323
bsds_323016,synthetic_bsds,people,4,0,0,-0.27032640399018915,-0.1167854592204094,-0.03760860487818718,-0.031010761857032776
bsds_368078,synthetic_bsds,architecture,4,0,3,-1.278137995438584,0.02003949135541916,0.25799309462308884,0.12340869009494781
bsds_374020,synthetic_bsds,architecture,4,0,0,-3.5345504026304555,-0.11059669405221939,0.3842073045670986,0.08060203492641449
bsds_385028,synthetic_bsds,architecture,4,0,0,-3.4784982932702793,-0.12453724443912506,0.34689995273947716,0.06344835460186005
bsds_41004,synthetic_bsds,animal,4,1,2,-4.410506928495915,-0.07178901880979538,0.12301805801689625,0.03804950416088104
bsds_45077,synthetic_bsds,animal,4,0,0,-0.3638012815319227,-0.17845848575234413,-0.13586602732539177,-0.08478958904743195
bsds_46076,synthetic_bsds,vegetation,4,1,2,-1.8039536209785227,-0.008240535855293274,0.14265179634094238,0.09318989515304565
bsds_59078,synthetic_bsds,architecture,4,0,0,-4.144597846296268,-0.039567530155181885,0.30076324194669724,0.0983719527721405
bsds_61086,synthetic_bsds,architecture,4,0,0,-2.9323985186109307,-0.05213608592748642,0.39990677684545517,0.1280546933412552
bsds_76002,synthetic_bsds,architecture,4,0,0,-6.842045090658091,-0.2586263343691826,-0.06510779820382595,-0.014928042888641357
bsds_80099,synthetic_bsds,animal,4,0,0,-0.11872328097836204,-0.048857562243938446,-0.019839242100715637,-0.056651145219802856
bsds_92059,synthetic_bsds,landscape,4,0,0,-3.734652262864195,-0.09014731645584106,0.20548146963119507,0.05263879895210266
