image_id,domain,mode,requested_coverage,pixel_coverage,region_coverage,selected_damage_rate,delivered_damage_fraction,hallucination_rate,psnr,ssim,lpips,dists,psnr_gain,ssim_gain,lpips_gain,dists_gain
case1,real_csig,LQ,0.0,0.0,0.0,,0.0,,32.02880115050813,0.9568520188331604,0.08247346431016922,0.13493692874908447,0.0,0.0,-0.0,-0.0
case1,real_csig,HYPIR,1.0,1.0,1.0,1.0,1.0,,29.335322996113593,0.8530137538909912,0.07975924015045166,0.20284593105316162,-2.693478154394537,-0.10383826494216919,0.00271422415971756,-0.06790900230407715
case1,real_csig,always_HYPIR,1.0,1.0,1.0,1.0,1.0,,29.335322996113593,0.8530137538909912,0.07975924015045166,0.20284593105316162,-2.693478154394537,-0.10383826494216919,0.00271422415971756,-0.06790900230407715
case1,real_csig,predicted,0.5,0.5,0.5,1.0,0.5,,31.16370371131633,0.9006468653678894,0.08535084128379822,0.1507260799407959,-0.8650974391917998,-0.056205153465270996,-0.002877376973628998,-0.015789151191711426
case1,real_csig,random,0.5,0.5,0.5,1.0,0.5,,30.593922593860846,0.9028851389884949,0.07967368513345718,0.15384012460708618,-1.4348785566472841,-0.05396687984466553,0.002799779176712036,-0.01890319585800171
case1,real_csig,oracle_budget_sse,0.5,0.5,0.5,1.0,0.5,,31.606347845874097,0.9044599533081055,0.08631692081689835,0.15718162059783936,-0.42245330463403263,-0.05239206552505493,-0.003843456506729126,-0.022244691848754883
case1,real_csig,oracle_positive,,0.0,0.0,,0.0,,32.02880115050813,0.9568520188331604,0.08247346431016922,0.13493692874908447,0.0,0.0,-0.0,-0.0
case1,real_csig,oracle_pixel,,0.26648497581481934,,,,,33.89154836927009,0.9561230540275574,0.04421880841255188,0.09053951501846313,1.8627472187619603,-0.0007289648056030273,0.03825465589761734,0.04439741373062134
case2,real_csig,LQ,0.0,0.0,0.0,,0.0,,28.189381483210912,0.8454883098602295,0.11857388913631439,0.10848939418792725,0.0,0.0,-0.0,-0.0
case2,real_csig,HYPIR,1.0,1.0,1.0,0.9895833333333334,0.9895833333333334,,24.213957929319086,0.7466596364974976,0.13043655455112457,0.11086231470108032,-3.975423553891826,-0.09882867336273193,-0.01186266541481018,-0.002372920513153076
case2,real_csig,always_HYPIR,1.0,1.0,1.0,0.9895833333333334,0.9895833333333334,,24.213957929319086,0.7466596364974976,0.13043655455112457,0.11086231470108032,-3.975423553891826,-0.09882867336273193,-0.01186266541481018,-0.002372920513153076
case2,real_csig,predicted,0.5,0.5,0.5,0.9791666666666666,0.4895833333333333,,26.12488529227184,0.7988650798797607,0.14474597573280334,0.09971719980239868,-2.064496190939071,-0.04662322998046875,-0.026172086596488953,0.008772194385528564
case2,real_csig,random,0.5,0.5,0.5,0.9895833333333334,0.4947916666666667,,25.85124287671754,0.794567346572876,0.15572214126586914,0.10206818580627441,-2.3381386064933736,-0.050920963287353516,-0.03714825212955475,0.006421208381652832
case2,real_csig,oracle_budget_sse,0.5,0.5,0.5,0.9791666666666666,0.4895833333333333,,27.26032629042677,0.8061820864677429,0.12579697370529175,0.0997171401977539,-0.9290551927841406,-0.03930622339248657,-0.007223084568977356,0.00877225399017334
case2,real_csig,oracle_positive,,0.010416666666666666,0.010416666666666666,0.0,0.0,,28.20249037074902,0.8452225923538208,0.11860275268554688,0.10844945907592773,0.01310888753810957,-0.0002657175064086914,-2.886354923248291e-05,3.993511199951172e-05
case2,real_csig,oracle_pixel,,0.36145742734273273,,,,,30.803548306991594,0.8749244809150696,0.051343049854040146,0.07111454010009766,2.614166823780682,0.029436171054840088,0.06723083928227425,0.03737485408782959
case3,real_csig,LQ,0.0,0.0,0.0,,0.0,,35.62208169890386,0.9414843916893005,0.07214301079511642,0.08352398872375488,0.0,0.0,-0.0,-0.0
case3,real_csig,HYPIR,1.0,1.0,1.0,1.0,1.0,,28.865398205920037,0.826362133026123,0.182393878698349,0.08677732944488525,-6.756683492983825,-0.11512225866317749,-0.11025086790323257,-0.003253340721130371
case3,real_csig,always_HYPIR,1.0,1.0,1.0,1.0,1.0,,28.865398205920037,0.826362133026123,0.182393878698349,0.08677732944488525,-6.756683492983825,-0.11512225866317749,-0.11025086790323257,-0.003253340721130371
case3,real_csig,predicted,0.5,0.5,0.5,1.0,0.5,,31.294049951966368,0.8898524641990662,0.12605580687522888,0.06616026163101196,-4.328031746937494,-0.051631927490234375,-0.05391279608011246,0.01736372709274292
case3,real_csig,random,0.5,0.5,0.5,1.0,0.5,,31.139225411813925,0.8863201141357422,0.14921201765537262,0.06760430335998535,-4.4828562870899376,-0.05516427755355835,-0.0770690068602562,0.01591968536376953
case3,real_csig,oracle_budget_sse,0.5,0.5,0.5,1.0,0.5,,33.93110147885516,0.8986615538597107,0.13486501574516296,0.06569099426269531,-1.6909802200487007,-0.042822837829589844,-0.06272200495004654,0.01783299446105957
case3,real_csig,oracle_positive,,0.0,0.0,,0.0,,35.62208169890386,0.9414843916893005,0.07214301079511642,0.08352398872375488,0.0,0.0,-0.0,-0.0
case3,real_csig,oracle_pixel,,0.17397697766621908,,,,,37.178641193915624,0.9518841505050659,0.03722011670470238,0.05268359184265137,1.5565594950117614,0.01039975881576538,0.03492289409041405,0.030840396881103516
case4,real_csig,LQ,0.0,0.0,0.0,,0.0,,18.056199318367533,0.3449207842350006,0.6992061138153076,0.3986865282058716,0.0,0.0,-0.0,-0.0
case4,real_csig,HYPIR,1.0,1.0,1.0,1.0,1.0,,16.352438762978853,0.2864064872264862,0.42025548219680786,0.26405102014541626,-1.7037605553886799,-0.058514297008514404,0.27895063161849976,0.13463550806045532
case4,real_csig,always_HYPIR,1.0,1.0,1.0,1.0,1.0,,16.352438762978853,0.2864064872264862,0.42025548219680786,0.26405102014541626,-1.7037605553886799,-0.058514297008514404,0.27895063161849976,0.13463550806045532
case4,real_csig,predicted,0.5,0.5,0.5,1.0,0.5,,17.29496732698252,0.3179473876953125,0.5724248290061951,0.28179502487182617,-0.7612319913850136,-0.02697339653968811,0.12678128480911255,0.11689150333404541
case4,real_csig,random,0.5,0.5,0.5,1.0,0.5,,17.122968629937386,0.3148987591266632,0.5743239521980286,0.27846699953079224,-0.9332306884301467,-0.030022025108337402,0.12488216161727905,0.12021952867507935
case4,real_csig,oracle_budget_sse,0.5,0.5,0.5,1.0,0.5,,17.5890356609573,0.3226863741874695,0.576117992401123,0.28788769245147705,-0.46716365741023225,-0.022234410047531128,0.12308812141418457,0.11079883575439453
case4,real_csig,oracle_positive,,0.0,0.0,,0.0,,18.056199318367533,0.3449207842350006,0.6992061138153076,0.3986865282058716,0.0,0.0,-0.0,-0.0
case4,real_csig,oracle_pixel,,0.4852597713470459,,,,,19.21328750830593,0.4457588493824005,0.4235372841358185,0.32180678844451904,1.1570881899383956,0.1008380651473999,0.27566882967948914,0.07687973976135254
case5,real_csig,LQ,0.0,0.0,0.0,,0.0,,26.275636569082227,0.8751407265663147,0.1418725997209549,0.17211931943893433,0.0,0.0,-0.0,-0.0
case5,real_csig,HYPIR,1.0,1.0,1.0,0.96875,0.96875,,23.875815580161888,0.7885241508483887,0.08273676782846451,0.10580551624298096,-2.3998209889203395,-0.08661657571792603,0.05913583189249039,0.06631380319595337
case5,real_csig,always_HYPIR,1.0,1.0,1.0,0.96875,0.96875,,23.875815580161888,0.7885241508483887,0.08273676782846451,0.10580551624298096,-2.3998209889203395,-0.08661657571792603,0.05913583189249039,0.06631380319595337
case5,real_csig,predicted,0.5,0.5,0.5,0.9583333333333334,0.4791666666666667,,24.96071921859755,0.8313068747520447,0.11938543617725372,0.12855005264282227,-1.3149173504846772,-0.04383385181427002,0.022487163543701172,0.04356926679611206
case5,real_csig,random,0.5,0.5,0.5,0.96875,0.484375,,24.892681307435055,0.8274604082107544,0.11512471735477448,0.13403236865997314,-1.3829552616471723,-0.0476803183555603,0.02674788236618042,0.03808695077896118
case5,real_csig,oracle_budget_sse,0.5,0.5,0.5,0.9375,0.46875,,25.746191101604772,0.840533971786499,0.10871779918670654,0.13981956243515015,-0.5294454674774549,-0.034606754779815674,0.03315480053424835,0.03229975700378418
case5,real_csig,oracle_positive,,0.03125,0.03125,0.0,0.0,,26.29843235188341,0.8740228414535522,0.13948620855808258,0.16803324222564697,0.02279578280118244,-0.0011178851127624512,0.0023863911628723145,0.0040860772132873535
case5,real_csig,oracle_pixel,,0.41001168886820477,,,,,29.57098661386756,0.895089328289032,0.033978089690208435,0.07711678743362427,3.2953500447853337,0.019948601722717285,0.10789451003074646,0.09500253200531006
bsds_100098,synthetic_bsds,LQ,0.0,0.0,0.0,,0.0,,19.942977262617966,0.5429479479789734,0.6826978921890259,0.25005489587783813,0.0,0.0,-0.0,-0.0
