first,second,domain,metric,image_count,mean_difference,lower_95,upper_95,draws,unit,seed
V7,C1_lq,synthetic_bsds,pr_auc,3,-0.2037037037037037,-0.2777777777777777,-0.16666666666666666,2000,paired source image,505
V7,C1_lq,synthetic_bsds,brier,50,-3.8424032885851984e-05,-0.00014297199969240078,4.728484144693291e-05,2000,paired source image,505
V7,V6,all,roc_auc,5,-0.0017694774570835349,-0.003874740614978234,0.0,2000,paired source image,505
V7,V6,all,pr_auc,5,-5.950374004332071e-05,-0.000293040293040292,0.00011452907291032987,2000,paired source image,505
V7,V6,all,brier,55,1.298548533786844e-07,-1.1160619242944178e-06,1.7481895448816677e-06,2000,paired source image,505
V7,V6,real_csig,roc_auc,2,-0.004423693642708837,-0.0052631578947367474,-0.0035842293906809264,2000,paired source image,505
V7,V6,real_csig,pr_auc,2,-0.00014875935010830177,-0.0004884004884004867,0.00019088178818388313,2000,paired source image,505
V7,V6,real_csig,brier,5,-1.935103095599309e-06,-3.974531835777468e-06,-2.5714909508400597e-07,2000,paired source image,505
V7,V6,synthetic_bsds,roc_auc,3,0.0,0.0,0.0,2000,paired source image,505
V7,V6,synthetic_bsds,pr_auc,3,0.0,0.0,0.0,2000,paired source image,505
V7,V6,synthetic_bsds,brier,50,3.363506482764839e-07,-9.699850493385958e-07,2.197889969638806e-06,2000,paired source image,505
C5_pair_stability,V2,all,roc_auc,5,0.0023071118656857294,0.0,0.0048160724391624445,2000,paired source image,505
C5_pair_stability,V2,all,pr_auc,5,0.00035803735390289583,0.0,0.000737349836114759,2000,paired source image,505
C5_pair_stability,V2,all,brier,55,-2.33248086730257e-06,-8.279888670682486e-06,1.2631066625082546e-06,2000,paired source image,505
C5_pair_stability,V2,real_csig,roc_auc,2,0.005767779664214323,0.0052631578947368585,0.006272401433691788,2000,paired source image,505
C5_pair_stability,V2,real_csig,pr_auc,2,0.0008950933847572395,0.0008419055639848211,0.000948281205529658,2000,paired source image,505
C5_pair_stability,V2,real_csig,brier,5,-1.6136421612928765e-06,-4.758629657460516e-06,4.4465752883448425e-07,2000,paired source image,505
C5_pair_stability,V2,synthetic_bsds,roc_auc,3,0.0,0.0,0.0,2000,paired source image,505
C5_pair_stability,V2,synthetic_bsds,pr_auc,3,0.0,0.0,0.0,2000,paired source image,505
C5_pair_stability,V2,synthetic_bsds,brier,50,-2.404364737903539e-06,-9.07036734742782e-06,1.4829858518423813e-06,2000,paired source image,505
V7,V8,all,roc_auc,5,-0.06811733635163171,-0.401450669684965,0.19854933031503494,2000,paired source image,505
V7,V8,all,pr_auc,5,-0.0429317808095888,-0.17070955858736653,0.04344488844488843,2000,paired source image,505
V7,V8,all,brier,55,-2.063618237258617e-06,-1.5108757050188594e-05,1.053063837037916e-05,2000,paired source image,505
V7,V8,real_csig,roc_auc,2,-0.003626674212412667,-0.1210526315789473,0.11379928315412197,2000,paired source image,505
V7,V8,real_csig,pr_auc,2,-0.010107229801749832,-0.032775557775557775,0.01256109817205811,2000,paired source image,505
V7,V8,real_csig,brier,5,2.2311644558507022e-05,4.7655501782135065e-07,4.4146734099192696e-05,2000,paired source image,505
V7,V8,synthetic_bsds,roc_auc,3,-0.11111111111111109,-0.6666666666666666,0.3333333333333333,2000,paired source image,505
