domain,mode,image_count,images_psnr_below_lq,psnr,ssim,lpips,dists,psnr_gain,ssim_gain,lpips_gain,dists_gain,pixel_coverage
all,LQ,55,0,23.137153606295062,0.6566434995694594,0.3688743488355116,0.21876435713334516,0.0,0.0,0.0,0.0,0.0
all,HYPIR,55,54,19.855979108005396,0.5614274100823836,0.24885543869300322,0.17310184457085348,-3.281174498289658,-0.0952160894870758,0.12001891014250841,0.045662512562491674,1.0
all,always_HYPIR,55,54,19.855979108005396,0.5614274100823836,0.24885543869300322,0.17310184457085348,-3.281174498289658,-0.0952160894870758,0.12001891014250841,0.045662512562491674,1.0
all,predicted,55,55,21.047923777539086,0.6083058107982983,0.3134110204198144,0.17152139165184715,-2.0892298287559696,-0.048337688771161166,0.055463328415697274,0.04724296548149803,0.48575268294894464
all,random,55,54,21.04745600551588,0.6037141431461681,0.32175963805480434,0.17059184529564597,-2.0896976007791754,-0.052929356423291295,0.047114710780707274,0.048172511837699196,0.509869342579623
all,oracle_budget_sse,55,54,22.118344433851835,0.6382273869080977,0.34231270917437295,0.18796885772184893,-1.0188091724432262,-0.018416112661361693,0.026561639661138708,0.03079549941149625,0.2790446482035267
all,oracle_positive,55,0,23.15604117878885,0.6604603902860121,0.3630020507357337,0.21597271073948254,0.018887572493788824,0.0038168907165527345,0.005872298099777915,0.0027916463938626374,0.020898872534386555
all,oracle_pixel,55,0,24.97341021169564,0.7579971112988212,0.18756546080112457,0.1581014102155512,1.8362566054005793,0.10135361172936179,0.18130888803438708,0.06066294691779397,0.3556673812224799
real_csig,LQ,5,0,28.03442004401453,0.7927772462368011,0.22285381555557252,0.1795512318611145,0.0,0.0,0.0,0.0,0.0
real_csig,HYPIR,5,5,24.528586694898692,0.7001932322978973,0.17911638468503951,0.1540684223175049,-3.5058333491158415,-0.09258401393890381,0.04373743087053299,0.025482809543609618,1.0
real_csig,always_HYPIR,5,5,24.528586694898692,0.7001932322978973,0.17911638468503951,0.1540684223175049,-3.5058333491158415,-0.09258401393890381,0.04373743087053299,0.025482809543609618,1.0
real_csig,predicted,5,5,26.167665100226923,0.7477237343788147,0.20959257781505586,0.14538972377777098,-1.8667549437876112,-0.04505351185798645,0.013261237740516662,0.034161508083343506,0.5
real_csig,random,5,5,25.92000816395295,0.7452263534069061,0.2148113027215004,0.14720239639282226,-2.1144118800615828,-0.04755089282989502,0.008042512834072113,0.03234883546829224,0.5
real_csig,oracle_budget_sse,5,5,27.226600475543627,0.7545047879219056,0.20636294037103653,0.15005940198898315,-0.8078195684709122,-0.03827245831489563,0.01649087518453598,0.029491829872131347,0.5
real_csig,oracle_positive,5,0,28.041600978082393,0.7925005257129669,0.22238231003284453,0.17872602939605714,0.007180934067858402,-0.00027672052383422854,0.0004715055227279663,0.0008252024650573731,0.008333333333333333
real_csig,oracle_pixel,5,0,30.131602398470157,0.824755972623825,0.11805946975946427,0.12265224456787109,2.0971823544556267,0.031978726387023926,0.10479434579610825,0.05689898729324341,0.33943816820780437
synthetic_bsds,LQ,50,0,22.647426962523113,0.6430301249027253,0.38347640216350554,0.22268566966056824,0.0,0.0,0.0,0.0,0.0
synthetic_bsds,HYPIR,50,49,19.388718349316076,0.5475508278608322,0.2558293440937996,0.17500518679618834,-3.2587086132070398,-0.09547929704189301,0.12764705806970597,0.04768048286437988,1.0
synthetic_bsds,always_HYPIR,50,49,19.388718349316076,0.5475508278608322,0.2558293440937996,0.17500518679618834,-3.2587086132070398,-0.09547929704189301,0.12764705806970597,0.04768048286437988,1.0
synthetic_bsds,predicted,50,50,20.53594964527031,0.5943640184402466,0.3237928646802902,0.17413455843925477,-2.1114773172528056,-0.04866610646247864,0.05968353748321533,0.048551111221313475,0.4843279512438391
synthetic_bsds,random,50,49,20.560200789672177,0.5895629221200943,0.3324544715881348,0.17293079018592836,-2.0872261728509343,-0.053467202782630924,0.051021930575370786,0.04975487947463989,0.5108562768375853
synthetic_bsds,oracle_budget_sse,50,49,21.607518829682657,0.6265996468067169,0.3559076860547066,0.1917598032951355,-1.0399081328404576,-0.0164304780960083,0.02756871610879898,0.03092586636543274,0.25694911302387935
synthetic_bsds,oracle_positive,50,0,22.66748519885949,0.6472563767433166,0.37706402480602264,0.21969737887382507,0.020058236336381867,0.004226251840591431,0.00641237735748291,0.002988290786743164,0.022155426454491877
synthetic_bsds,oracle_pixel,50,0,24.45759099301819,0.7513212251663208,0.1945160599052906,0.1616463267803192,1.8101640304950743,0.10829110026359558,0.18896034225821495,0.06103934288024902,0.35729030252394733
