image_id,domain,mode,requested_coverage,pixel_coverage,region_coverage,selected_damage_rate,delivered_damage_fraction,hallucination_rate,psnr,ssim,lpips,dists,psnr_gain,ssim_gain,lpips_gain,dists_gain
case1,real_csig,oracle_budget_sse,0.5,0.5,0.5,1.0,0.5,,31.606347845874097,0.9044599533081055,0.08631692081689835,0.15718162059783936,-0.42245330463403263,-0.05239206552505493,-0.003843456506729126,-0.022244691848754883
case1,real_csig,oracle_positive,,0.0,0.0,,0.0,,32.02880115050813,0.9568520188331604,0.08247346431016922,0.13493692874908447,0.0,0.0,-0.0,-0.0
case1,real_csig,oracle_pixel,,0.26648497581481934,,,,,33.89154836927009,0.9561230540275574,0.04421880841255188,0.09053951501846313,1.8627472187619603,-0.0007289648056030273,0.03825465589761734,0.04439741373062134
case2,real_csig,oracle_budget_sse,0.5,0.5,0.5,0.9791666666666666,0.4895833333333333,,27.26032629042677,0.8061820864677429,0.12579697370529175,0.0997171401977539,-0.9290551927841406,-0.03930622339248657,-0.007223084568977356,0.00877225399017334
case2,real_csig,oracle_positive,,0.010416666666666666,0.010416666666666666,0.0,0.0,,28.20249037074902,0.8452225923538208,0.11860275268554688,0.10844945907592773,0.01310888753810957,-0.0002657175064086914,-2.886354923248291e-05,3.993511199951172e-05
case2,real_csig,oracle_pixel,,0.36145742734273273,,,,,30.803548306991594,0.8749244809150696,0.051343049854040146,0.07111454010009766,2.614166823780682,0.029436171054840088,0.06723083928227425,0.03737485408782959
case3,real_csig,oracle_budget_sse,0.5,0.5,0.5,1.0,0.5,,33.93110147885516,0.8986615538597107,0.13486501574516296,0.06569099426269531,-1.6909802200487007,-0.042822837829589844,-0.06272200495004654,0.01783299446105957
case3,real_csig,oracle_positive,,0.0,0.0,,0.0,,35.62208169890386,0.9414843916893005,0.07214301079511642,0.08352398872375488,0.0,0.0,-0.0,-0.0
case3,real_csig,oracle_pixel,,0.17397697766621908,,,,,37.178641193915624,0.9518841505050659,0.03722011670470238,0.05268359184265137,1.5565594950117614,0.01039975881576538,0.03492289409041405,0.030840396881103516
case4,real_csig,oracle_budget_sse,0.5,0.5,0.5,1.0,0.5,,17.5890356609573,0.3226863741874695,0.576117992401123,0.28788769245147705,-0.46716365741023225,-0.022234410047531128,0.12308812141418457,0.11079883575439453
case4,real_csig,oracle_positive,,0.0,0.0,,0.0,,18.056199318367533,0.3449207842350006,0.6992061138153076,0.3986865282058716,0.0,0.0,-0.0,-0.0
case4,real_csig,oracle_pixel,,0.4852597713470459,,,,,19.21328750830593,0.4457588493824005,0.4235372841358185,0.32180678844451904,1.1570881899383956,0.1008380651473999,0.27566882967948914,0.07687973976135254
case5,real_csig,oracle_budget_sse,0.5,0.5,0.5,0.9375,0.46875,,25.746191101604772,0.840533971786499,0.10871779918670654,0.13981956243515015,-0.5294454674774549,-0.034606754779815674,0.03315480053424835,0.03229975700378418
case5,real_csig,oracle_positive,,0.03125,0.03125,0.0,0.0,,26.29843235188341,0.8740228414535522,0.13948620855808258,0.16803324222564697,0.02279578280118244,-0.0011178851127624512,0.0023863911628723145,0.0040860772132873535
case5,real_csig,oracle_pixel,,0.41001168886820477,,,,,29.57098661386756,0.895089328289032,0.033978089690208435,0.07711678743362427,3.2953500447853337,0.019948601722717285,0.10789451003074646,0.09500253200531006
bsds_100098,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,19.35209041457563,0.5334793925285339,0.6209909915924072,0.21937114000320435,-0.5908868480423344,-0.009468555450439453,0.06170690059661865,0.03068375587463379
bsds_100098,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,19.942977262617966,0.5429479479789734,0.6826978921890259,0.25005489587783813,0.0,0.0,-0.0,-0.0
bsds_100098,synthetic_bsds,oracle_pixel,,0.4156190698246773,,,,,22.910170234419066,0.7527832388877869,0.2636391818523407,0.1858016848564148,2.9671929718011008,0.20983529090881348,0.4190587103366852,0.06425321102142334
bsds_106025,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,31.617255968453545,0.8789542317390442,0.31078487634658813,0.20096629858016968,-0.3372904793644729,-0.013998270034790039,0.005796641111373901,0.03485995531082153
