domain,category,image_count,roc_auc_defined_images,roc_auc,pr_auc,brier,ece
real_csig,text,2,1,0.7631578947368421,0.03324175824175824,0.005191148643435756,0.00563738274838145
real_csig,animal,1,0,,,7.353428396205211e-07,0.0006441094949146971
real_csig,vegetation,1,0,,,3.6742123289644044e-07,0.0004813118669116906
real_csig,architecture,1,1,0.5949820788530467,0.045949427906539386,0.031156965858349695,0.029739608470654787
synthetic_bsds,animal,16,1,0.33333333333333337,0.3333333333333333,0.015620804369106152,0.016567160212481953
synthetic_bsds,landscape,6,0,,,5.190538928679159e-06,0.001232192510259156
synthetic_bsds,vegetation,4,1,0.33333333333333337,0.3333333333333333,0.06247352234845624,0.06297442971684959
synthetic_bsds,people,13,1,0.0,0.6388888888888888,0.05770823949618404,0.059724419332398165
synthetic_bsds,architecture,11,0,,,2.751631887684521e-07,0.0003886668594191523
