model_id,image_id,domain,coverage,actual_patch_coverage,damage_rate,actual_pixel_coverage,pixel_weighted_damage_rate,selected_count,delivered_damage_fraction,hallucination_rate,psnr_gain,ssim_gain,lpips_gain,dists_gain,psnr_selected,ssim_selected,lpips_selected,dists_selected
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,0.1,0.10416666666666667,1.0,0.10416666666666667,1.0,20,0.10416666666666667,,-4.358992638856271,-0.08941153287887574,-0.3258803931530565,-0.1816653937101364,34.02863847493188,0.8838895350694657,0.369495202600956,0.32376132607460023
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,0.2,0.203125,1.0,0.203125,1.0,39,0.203125,,-4.2663936130072395,-0.08827429398512229,-0.31609641717603576,-0.17619929558191544,33.76781003193454,0.8773822249510349,0.36703128998096174,0.3209515916995513
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,0.3,0.3020833333333333,1.0,0.3020833333333333,1.0,58,0.3020833333333333,,-4.919762393027355,-0.09050316851714561,-0.3223537438195841,-0.18882509860499153,34.756572964555424,0.8814410197323767,0.3659143455583474,0.32125955922850247
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,0.4,0.4010416666666667,1.0,0.4010416666666667,1.0,77,0.4010416666666667,,-4.794485441498002,-0.09328340477757639,-0.325966568748382,-0.18765358801011917,34.552915952567794,0.8772326645913062,0.3718280585168244,0.32201262186099955
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,0.5,0.5,1.0,0.5,1.0,96,0.5,,-4.747843798302834,-0.0947843249887228,-0.32629031149554066,-0.18607604006926218,34.2742084713793,0.870771569510301,0.376960770227015,0.3227476980537176
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,0.6,0.6041666666666666,1.0,0.6041666666666666,1.0,116,0.6041666666666666,,-4.915340375795512,-0.10030177389753275,-0.3342760455080083,-0.18874216131095228,34.147160292997896,0.8645294298385752,0.3857058022042801,0.3247315359526667
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,0.7,0.703125,1.0,0.703125,1.0,135,0.703125,,-5.099436806311296,-0.10354786493160106,-0.3386499404562292,-0.1901896843203792,34.04951121597221,0.8615936420581959,0.3895447583110244,0.3268317884869046
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,0.8,0.8020833333333334,1.0,0.8020833333333334,1.0,154,0.8020833333333334,,-5.058202289163427,-0.10614476149732416,-0.34091384302183697,-0.188019248959306,33.670466986940816,0.8568043530761421,0.394866701263886,0.3273585643861201
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,0.9,0.9010416666666666,1.0,0.9010416666666666,1.0,173,0.9010416666666666,,-4.9047636563705,-0.10611952315865225,-0.3396007256458562,-0.18392624469161722,33.24526810388974,0.8531682708359867,0.3973919921527708,0.3271581075784099
mixed_groupcv_psnr_benefit_V1_logistic_505,case1,real_csig,1.0,1.0,1.0,1.0,1.0,192,1.0,,-4.663297137927112,-0.1037565665319562,-0.33479946709849173,-0.1786025861899058,32.76227372777851,0.8531319638714194,0.3958617178723216,0.32687523930023116
mixed_groupcv_psnr_benefit_V1_logistic_505,case2,real_csig,0.1,0.10416666666666667,0.95,0.10416666666666667,0.95,20,0.09895833333333333,,-4.06242083747795,-0.08164686262607575,0.011271493881940842,0.0010966062545776367,27.489246162493004,0.7744479030370712,0.3892178624868393,0.2899684250354767
mixed_groupcv_psnr_benefit_V1_logistic_505,case2,real_csig,0.2,0.203125,0.9487179487179487,0.203125,0.9487179487179487,39,0.19270833333333334,,-4.379697941693613,-0.08632180935297257,0.010094308700316992,-0.000279084230080629,26.97378206821212,0.7769300112357507,0.36268269098722017,0.28455429046581954
mixed_groupcv_psnr_benefit_V1_logistic_505,case2,real_csig,0.3,0.3020833333333333,0.9655172413793104,0.3020833333333333,0.9655172413793104,58,0.2916666666666667,,-4.095356556888858,-0.09193793966852386,0.01591002324531818,0.0007621306797553753,26.493607079931923,0.7616533225980299,0.35803638141730737,0.28378694632957724
mixed_groupcv_psnr_benefit_V1_logistic_505,case2,real_csig,0.4,0.4010416666666667,0.974025974025974,0.4010416666666667,0.974025974025974,77,0.390625,,-4.297968965106799,-0.09393819392501533,0.012214011960215383,-0.0007872658890563172,26.217591951224616,0.7588273538397504,0.35650508608910947,0.2820438603302101
mixed_groupcv_psnr_benefit_V1_logistic_505,case2,real_csig,0.5,0.5,0.9791666666666666,0.5,0.9791666666666666,96,0.4895833333333333,,-4.296696476590503,-0.09617680466423432,0.007431716658174992,-0.003670645256837209,25.94683710928237,0.7525093875204524,0.3610057916181783,0.284333070119222
mixed_groupcv_psnr_benefit_V1_logistic_505,case2,real_csig,0.6,0.6041666666666666,0.9827586206896551,0.6041666666666666,0.9827586206896551,116,0.59375,,-4.250478523436359,-0.09807885900653641,0.006048650063317397,-0.005190514798822074,25.66674270836453,0.7488470203403769,0.3576622298308488,0.28295119004002933
mixed_groupcv_psnr_benefit_V1_logistic_505,case2,real_csig,0.7,0.703125,0.9851851851851852,0.703125,0.9851851851851852,135,0.6927083333333334,,-4.140691629990538,-0.09843174241207264,0.005519544305624785,-0.0046960539287991,25.578671313537853,0.7464901754149684,0.35822748828817297,0.2809933794869317
mixed_groupcv_psnr_benefit_V1_logistic_505,case2,real_csig,0.8,0.8020833333333334,0.987012987012987,0.8020833333333334,0.987012987012987,154,0.7916666666666666,,-4.149391737100838,-0.09979106834182491,0.004642548015365353,-0.005781385805699733,25.41221297990099,0.7433400543092133,0.35750704771512515,0.2812756880537256
mixed_groupcv_psnr_benefit_V1_logistic_505,case2,real_csig,0.9,0.9010416666666666,0.9884393063583815,0.9010416666666666,0.9884393063583815,173,0.890625,,-3.9863472264602926,-0.09948866267424787,0.0047614401303274784,-0.006442415576449708,25.444031778821426,0.7444480356108936,0.35183633493550254,0.27934880373794907
