image_id,scene_id,domain,region_index,psnr_lq,psnr_restored,ssim_lq,ssim_restored,lpips_lq,lpips_restored,dists_lq,dists_restored,psnr_gain,ssim_gain,lpips_gain,dists_gain,four_metric_majority,psnr_benefit
case1,case1,real_csig,0,27.879531018742938,25.14997664961883,0.9172770380973816,0.8373818397521973,0.1250012218952179,0.36884522438049316,0.22341883182525635,0.3642668128013611,-2.7295543691241093,-0.07989519834518433,-0.24384400248527527,-0.14084798097610474,0,0
case1,case1,real_csig,1,27.608688609408965,22.560420797044003,0.9041694402694702,0.8316031694412231,0.11877922713756561,0.3543505370616913,0.21387261152267456,0.38459205627441406,-5.048267812364962,-0.07256627082824707,-0.23557130992412567,-0.1707194447517395,0,0
case1,case1,real_csig,2,27.9683498799781,22.991033952472442,0.9097993969917297,0.8387670516967773,0.11776245385408401,0.3800792098045349,0.22241473197937012,0.38378387689590454,-4.977315927505657,-0.07103234529495239,-0.2623167559504509,-0.16136914491653442,0,0
case1,case1,real_csig,3,27.799071054993373,25.348067943785413,0.9083358645439148,0.8208870887756348,0.11489793658256531,0.41538745164871216,0.2078402042388916,0.3621816039085388,-2.45100311120796,-0.08744877576828003,-0.30048951506614685,-0.15434139966964722,0,0
case1,case1,real_csig,4,28.636645178865983,26.351372402025067,0.9189245700836182,0.8347079753875732,0.09491860866546631,0.38552194833755493,0.2401566505432129,0.36236077547073364,-2.285272776840916,-0.08421659469604492,-0.2906033396720886,-0.12220412492752075,0,0
case1,case1,real_csig,5,28.73989090936203,26.688272247656034,0.9191957116127014,0.8315005898475647,0.12292373180389404,0.42275723814964294,0.2274855375289917,0.3562518358230591,-2.0516186617059944,-0.08769512176513672,-0.2998335063457489,-0.12876629829406738,0,0
case1,case1,real_csig,6,29.479330353853296,27.138984634900794,0.9346760511398315,0.8562561869621277,0.08158735930919647,0.3811057507991791,0.21213871240615845,0.37632107734680176,-2.340345718952502,-0.07841986417770386,-0.2995183914899826,-0.1641823649406433,0,0
case1,case1,real_csig,7,34.24598051924061,30.295407690888858,0.9717593789100647,0.8617583513259888,0.03919513523578644,0.39082828164100647,0.19053304195404053,0.38394665718078613,-3.9505728283517527,-0.11000102758407593,-0.35163314640522003,-0.1934136152267456,0,0
case1,case1,real_csig,8,39.93119538206446,36.24639918598703,0.9956602454185486,0.8431236743927002,0.03205610066652298,0.4594806730747223,0.1539137363433838,0.33196479082107544,-3.6847961960774285,-0.1525365710258484,-0.4274245724081993,-0.17805105447769165,0,0
case1,case1,real_csig,9,38.73447527936149,35.589293558235426,0.9968360066413879,0.8437166810035706,0.029004957526922226,0.43248939514160156,0.12448477745056152,0.3365074396133423,-3.1451817211260646,-0.15311932563781738,-0.40348443761467934,-0.21202266216278076,0,0
case1,case1,real_csig,10,38.11875733156781,30.413493714512825,0.9958499073982239,0.8363011479377747,0.03257244452834129,0.43917542695999146,0.2570767402648926,0.46969443559646606,-7.705263617054982,-0.15954875946044922,-0.40660298243165016,-0.2126176953315735,0,0
case1,case1,real_csig,11,41.514557499175524,36.399882715338975,0.997276782989502,0.8412331938743591,0.016812890768051147,0.4591015577316284,0.08153951168060303,0.32446300983428955,-5.1146747838365485,-0.15604358911514282,-0.44228866696357727,-0.24292349815368652,0,0
case1,case1,real_csig,12,39.26008128334522,35.49018820143638,0.9967356324195862,0.8322027921676636,0.02777998521924019,0.49387305974960327,0.08926171064376831,0.3383443355560303,-3.7698930819088403,-0.1645328402519226,-0.4660930745303631,-0.24908262491226196,0,0
case1,case1,real_csig,13,39.65344672692642,35.44137577470889,0.9974632859230042,0.8291254043579102,0.01912684552371502,0.49598872661590576,0.09896409511566162,0.33216238021850586,-4.21207095221753,-0.168337881565094,-0.47686188109219074,-0.23319828510284424,0,0
