image_id,scene_id,domain,scene_category,width,height,region_count,psnr_lq,psnr_restored,ssim_lq,ssim_restored,lpips_lq,lpips_restored,dists_lq,dists_restored,psnr_gain,ssim_gain,lpips_gain,dists_gain,candidate_sha256
case1,case1,real_csig,text,4096,3072,192,32.02880115050813,29.335322996113593,0.9568520188331604,0.8530137538909912,0.08247346431016922,0.07975924015045166,0.13493692874908447,0.20284593105316162,-2.693478154394537,-0.10383826494216919,0.00271422415971756,-0.06790900230407715,3bafc6e8ba1c1fb732115dff66c83c633658c4a06fb54c101765f33e6fad8831
case2,case2,real_csig,text,3072,4096,192,28.189381483210912,24.213957929319086,0.8454883098602295,0.7466596364974976,0.11857388913631439,0.13043655455112457,0.10848939418792725,0.11086231470108032,-3.975423553891826,-0.09882867336273193,-0.01186266541481018,-0.002372920513153076,84abe6dd35aab87764c16f039e6e7d55972ddcf577b0905f9cf4640efbb87b70
case3,case3,real_csig,animal,4096,3072,192,35.62208169890386,28.865398205920037,0.9414843916893005,0.826362133026123,0.07214301079511642,0.182393878698349,0.08352398872375488,0.08677732944488525,-6.756683492983825,-0.11512225866317749,-0.11025086790323257,-0.003253340721130371,5f1d73d27aed474cd75dfe6a45cef6c1d208d604cbf7e7e89b4ccf083c8d08ab
case4,case4,real_csig,vegetation,4096,3072,192,18.056199318367533,16.352438762978853,0.3449207842350006,0.2864064872264862,0.6992061138153076,0.42025548219680786,0.3986865282058716,0.26405102014541626,-1.7037605553886799,-0.058514297008514404,0.27895063161849976,0.13463550806045532,66682c9096ebc98f7771314e34490bc1af71fb9328d46849592c24a6d95c7036
case5,case5,real_csig,architecture,4096,3072,192,26.275636569082227,23.875815580161888,0.8751407265663147,0.7885241508483887,0.1418725997209549,0.08273676782846451,0.17211931943893433,0.10580551624298096,-2.3998209889203395,-0.08661657571792603,0.05913583189249039,0.06631380319595337,640de0222134743db16b76a8a0cf51c4534ba1e7199ceb8cdd78fc1e7efe878a
bsds_100098,bsds_100098,synthetic_bsds,unreviewed_natural_scene,481,321,4,19.942977262617966,18.31715658234923,0.5429479479789734,0.5343131422996521,0.6826978921890259,0.3145085871219635,0.25005489587783813,0.1754237413406372,-1.6258206802687347,-0.008634805679321289,0.3681893050670624,0.07463115453720093,5f9c17346fae39c9bb8d9c376d965987b12bba63d29765b39612366b8deff7c5
bsds_106025,bsds_106025,synthetic_bsds,unreviewed_natural_scene,321,481,4,31.954546447818018,28.615104281070632,0.8929525017738342,0.7990232706069946,0.31658151745796204,0.20022478699684143,0.2358262538909912,0.1486460566520691,-3.3394421667473857,-0.0939292311668396,0.1163567304611206,0.08718019723892212,66c9a53def33da50ceccda7c54400d6c85cc3e488aaed931ef3d95eb9f416910
bsds_112082,bsds_112082,synthetic_bsds,unreviewed_natural_scene,481,321,4,26.712840713190424,19.694632562443076,0.7967427372932434,0.4539991617202759,0.13807593286037445,0.2070903331041336,0.16357672214508057,0.15356677770614624,-7.018208150747348,-0.34274357557296753,-0.06901440024375916,0.010009944438934326,e20d0a5becf54d8316c6e9fe978c504ade81e0d61baf1b4845434db802e8071e
bsds_138078,bsds_138078,synthetic_bsds,unreviewed_natural_scene,321,481,4,10.505132491076157,10.3182129849158,0.6480243802070618,0.47154006361961365,0.16021978855133057,0.24489620327949524,0.13570654392242432,0.18207311630249023,-0.18691950616035768,-0.17648431658744812,-0.08467641472816467,-0.04636657238006592,abb251ba5dc790d96423e4b03c92dc598328a3a22a2ea4a79a672fc87f9f8b9d
bsds_140055,bsds_140055,synthetic_bsds,unreviewed_natural_scene,481,321,4,23.331554057832626,19.22965154719454,0.47681620717048645,0.30174899101257324,0.49973946809768677,0.3694200813770294,0.2411099672317505,0.19096869230270386,-4.101902510638087,-0.1750672161579132,0.13031938672065735,0.05014127492904663,f516d7ee8ddeeb0187389aea4d009c45c5cb6035c8860a2b7f9d80ece94c25bc
bsds_147021,bsds_147021,synthetic_bsds,unreviewed_natural_scene,481,321,4,23.571607384516298,21.503970841783257,0.5325654149055481,0.5178334712982178,0.5750974416732788,0.24169927835464478,0.2655733823776245,0.1647372841835022,-2.067636542733041,-0.014731943607330322,0.33339816331863403,0.10083609819412231,0793afa6a694137c0564f0f3118874dc051887ed0763bb18182e351d19fa8af0
bsds_153077,bsds_153077,synthetic_bsds,unreviewed_natural_scene,481,321,4,29.28001869827336,22.909334451272485,0.8627033829689026,0.7167506814002991,0.3206307888031006,0.250559002161026,0.17088806629180908,0.14408010244369507,-6.370684247000874,-0.14595270156860352,0.07007178664207458,0.026807963848114014,386419f515042aab452dc33971756e5698cfea318c053244a5400ce72f3ccd5d
bsds_159029,bsds_159029,synthetic_bsds,unreviewed_natural_scene,481,321,4,27.442907264241253,18.62758295075902,0.8261078596115112,0.5399466156959534,0.1847790777683258,0.2883131504058838,0.1631677746772766,0.18326860666275024,-8.815324313482233,-0.28616124391555786,-0.10353407263755798,-0.020100831985473633,7fcdd605aff2d97f0482a1ae0df3718006b64c6360fc3cb63a338c74a3c9b80f
bsds_159045,bsds_159045,synthetic_bsds,unreviewed_natural_scene,481,321,4,14.445701886060833,13.856198095586636,0.5071283578872681,0.3124080300331116,0.16742563247680664,0.3525639772415161,0.14703577756881714,0.22329479455947876,-0.5895037904741969,-0.1947203278541565,-0.18513834476470947,-0.07625901699066162,1b7669579dc23059aeea17ca8edec83335b9be3ec9449b624d26f6f77e172c64
bsds_159091,bsds_159091,synthetic_bsds,unreviewed_natural_scene,481,321,4,22.72559554500245,19.781527389407564,0.5963269472122192,0.5313470959663391,0.452815979719162,0.3126393258571625,0.21173220872879028,0.14037227630615234,-2.944068155594884,-0.06497985124588013,0.1401766538619995,0.07135993242263794,ed85941336e83f4e41c769be703d230f8f762991fe6dafc1009ca8a586cb7995
bsds_164074,bsds_164074,synthetic_bsds,unreviewed_natural_scene,481,321,4,20.847741689638767,18.19623441060724,0.6709385514259338,0.629417896270752,0.40190333127975464,0.3044947683811188,0.22632157802581787,0.18311572074890137,-2.6515072790315273,-0.041520655155181885,0.09740856289863586,0.043205857276916504,126f630eefa3c51d1ed849c716d0ae15bc7a17f4189a4247efc2df231b254869
bsds_166081,bsds_166081,synthetic_bsds,unreviewed_natural_scene,481,321,4,25.768936307880903,21.997243544642046,0.5957634449005127,0.4954656958580017,0.5981523990631104,0.24586378037929535,0.25014543533325195,0.16917341947555542,-3.771692763238857,-0.10029774904251099,0.352288618683815,0.08097201585769653,586427f84a448f5b741a4c91ad6f0d4a77224794332fee70323db2481db895e3
bsds_176039,bsds_176039,synthetic_bsds,unreviewed_natural_scene,481,321,4,28.60166624001912,22.75732387068191,0.697236955165863,0.7678672671318054,0.2868799567222595,0.1519506424665451,0.16890931129455566,0.16891682147979736,-5.8443423693372125,0.07063031196594238,0.13492931425571442,-7.510185241699219e-06,f377743e0908ad259016078ceb141ec0c4b8689873e3ea42a4f418f5bfba5bf6
bsds_183055,bsds_183055,synthetic_bsds,unreviewed_natural_scene,481,321,4,11.089549830989643,10.931315100608543,0.620211124420166,0.5584895610809326,0.19941571354866028,0.3008454442024231,0.19637829065322876,0.22831940650939941,-0.1582347303810998,-0.0617215633392334,-0.10142973065376282,-0.031941115856170654,926b09b3a20032bc3b08b9f037046c92958c9165a4ddc1baaf7e799881f2691f
bsds_187029,bsds_187029,synthetic_bsds,unreviewed_natural_scene,321,481,4,28.423948716494493,23.288451677803742,0.7812348008155823,0.6705749034881592,0.2810652554035187,0.19005361199378967,0.20819181203842163,0.14562857151031494,-5.135497038690751,-0.1106598973274231,0.091011643409729,0.06256324052810669,8e6d5a7052aec7f2857e4a89c2b8bd8993861e3713a0ed3a9e84b5b350f0d384
bsds_188063,bsds_188063,synthetic_bsds,unreviewed_natural_scene,481,321,4,27.809497550246718,26.431391787629973,0.744123101234436,0.725027322769165,0.43347448110580444,0.2085031270980835,0.27138185501098633,0.16484224796295166,-1.3781057626167446,-0.019095778465270996,0.22497135400772095,0.10653960704803467,2662fa349b5170ad8dce0713d1b69dc1af3c73c72bf713aac8d8b2785d405b80
bsds_198023,bsds_198023,synthetic_bsds,unreviewed_natural_scene,321,481,4,18.56196437839992,19.291647294003283,0.6141505837440491,0.7229553461074829,0.40264666080474854,0.24683953821659088,0.24298995733261108,0.2323676347732544,0.7296829156033624,0.10880476236343384,0.15580712258815765,0.01062232255935669,152346d7cae8be766fbf196dc7b9b9c525b0e881925f2ea398e8d20715c30ac9
bsds_198054,bsds_198054,synthetic_bsds,unreviewed_natural_scene,321,481,4,26.80714761478218,19.465434063099313,0.7771389484405518,0.6156833171844482,0.19799509644508362,0.17805813252925873,0.16944348812103271,0.1698930859565735,-7.341713551682869,-0.16145563125610352,0.01993696391582489,-0.0004495978355407715,254ffe3bf71b873ca826b20eafc71a286be499c4ae55c993d9b35b335541585a
