model_id,domain,coverage,image_count,hallucination_rate,damage_rate,actual_patch_coverage,actual_pixel_coverage,pixel_weighted_damage_rate,delivered_damage_fraction,psnr_gain,ssim_gain,lpips_gain,dists_gain
mixed_groupcv_psnr_benefit_V1_logistic_505,all,0.1,55,,0.980909090909091,0.23674242424242425,0.2058074503167961,0.980909090909091,0.23210227272727274,-3.786630823730544,-0.11027729147537188,0.08636879132298583,0.019549834132194518
mixed_groupcv_psnr_benefit_V1_logistic_505,real_csig,0.1,5,,0.99,0.10416666666666667,0.10416666666666667,0.99,0.103125,-4.217120112169249,-0.08639269046485425,-0.10254478710703552,-0.02501730382442474
mixed_groupcv_psnr_benefit_V1_logistic_505,all,0.2,55,,0.9804195804195803,0.24573863636363635,0.21480366243800822,0.9804195804195803,0.2409090909090909,-3.7893797186769875,-0.11018350459201075,0.0866732808522498,0.01944237247213617
mixed_groupcv_psnr_benefit_V1_logistic_505,real_csig,0.2,5,,0.9846153846153847,0.203125,0.203125,0.9846153846153847,0.2,-4.247357956580126,-0.08536103474788177,-0.09919540228513188,-0.02619938208506657
mixed_groupcv_psnr_benefit_V1_logistic_505,all,0.3,55,,0.9805642633228839,0.4820075757575757,0.44449156814811014,0.9805642633228839,0.47253787878787884,-3.5797034620232706,-0.10295190592077458,0.10041495100507473,0.02277898943536334
mixed_groupcv_psnr_benefit_V1_logistic_505,real_csig,0.3,5,,0.9862068965517242,0.3020833333333333,0.3020833333333333,0.9862068965517242,0.29791666666666666,-4.325750486086237,-0.08678585712251992,-0.09543290218370484,-0.02778403841215989
mixed_groupcv_psnr_benefit_V1_logistic_505,all,0.4,55,,0.9808736717827626,0.4910037878787879,0.4534877802693223,0.9808736717827626,0.4815340909090909,-3.574939286534703,-0.10305857591709253,0.10040232289874972,0.022838908039833888
mixed_groupcv_psnr_benefit_V1_logistic_505,real_csig,0.4,5,,0.9896103896103895,0.4010416666666667,0.4010416666666667,0.9896103896103895,0.39687500000000003,-4.273344555712002,-0.08795922708201717,-0.09557181135327977,-0.02712493376298384
mixed_groupcv_psnr_benefit_V1_logistic_505,all,0.5,55,,0.9808712121212121,0.5,0.46248399239053445,0.9808712121212121,0.49043560606060604,-3.577258598702977,-0.10314787646021807,0.10023131832739719,0.02272220334094582
mixed_groupcv_psnr_benefit_V1_logistic_505,real_csig,0.5,5,,0.9895833333333333,0.5,0.5,0.9895833333333333,0.49479166666666663,-4.298856989563007,-0.08894153305639824,-0.09745286163815763,-0.028408685450752574
mixed_groupcv_psnr_benefit_V1_logistic_505,all,0.6,55,,0.9748171368861024,0.7367424242424242,0.7037011285843062,0.9817656695140363,0.7179924242424243,-3.5461880690380645,-0.10897139415783319,0.10281988899009407,0.02086587126601327
mixed_groupcv_psnr_benefit_V1_logistic_505,real_csig,0.6,5,,0.9896551724137931,0.6041666666666666,0.6041666666666666,0.9896551724137931,0.5979166666666667,-4.391072004993037,-0.09150632383494542,-0.1032821836961626,-0.031108387996410504
mixed_groupcv_psnr_benefit_V1_logistic_505,all,0.7,55,,0.9749494949494949,0.7457386363636364,0.7126973407055184,0.9818980275774291,0.7269886363636363,-3.555604659613806,-0.10914346870147819,0.1025874641795426,0.02073835061455415
mixed_groupcv_psnr_benefit_V1_logistic_505,real_csig,0.7,5,,0.9911111111111112,0.703125,0.703125,0.9911111111111112,0.696875,-4.494654501326187,-0.0933991438150406,-0.10583885661222867,-0.0325111151624609
mixed_groupcv_psnr_benefit_V1_logistic_505,all,0.8,55,,0.976564344746163,0.9820075757575758,0.9820075757575758,0.9791503206966249,0.9587121212121213,-3.528997667540784,-0.11614685713400384,0.10028267250623919,0.020012072070008047
mixed_groupcv_psnr_benefit_V1_logistic_505,real_csig,0.8,5,,0.9922077922077921,0.8020833333333334,0.8020833333333334,0.9922077922077921,0.7958333333333334,-4.465015203315172,-0.0938978155518507,-0.10467592848755129,-0.03140588325339479
