model_id,scope,target,variant,family,seed,image_id,domain,roc_auc,pr_auc,balanced_accuracy,precision,recall,f1,accuracy,brier,ece,positive_count,region_count
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_216041,synthetic_bsds,,,,0.0,0.0,0.0,1.0,3.354169533872794e-07,0.00044365589091867785,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_225017,synthetic_bsds,,,,0.0,0.0,0.0,1.0,6.049097208450325e-06,0.0014860205572923377,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_23025,synthetic_bsds,,,,0.0,0.0,0.0,1.0,4.5394857440545755e-07,0.0005535535576619199,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_23080,synthetic_bsds,,,,0.0,0.0,0.0,1.0,4.033703053170232e-05,0.004376733213633108,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_231015,synthetic_bsds,,,,0.0,0.0,0.0,1.0,8.427166018696341e-08,0.0002611086429160218,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_236017,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.0002967623342621676,0.009125023371451494,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_245051,synthetic_bsds,,,,0.0,0.0,0.0,1.0,1.486152256767898e-07,0.0002627353551069346,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_246016,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.00010335065492038464,0.0062298366331063615,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_249061,synthetic_bsds,,,,0.0,0.0,0.0,1.0,3.9249274583575094e-07,0.0005187715042138336,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_25098,synthetic_bsds,,,,0.0,0.0,0.0,1.0,6.324223219276068e-07,0.0005165228079701383,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_253036,synthetic_bsds,,,,0.0,0.0,0.0,1.0,9.107336671584372e-06,0.0028741999635887644,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_254054,synthetic_bsds,,,,0.0,0.0,0.0,1.0,5.377078356026762e-08,0.0001983480739299315,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_27059,synthetic_bsds,,,,0.0,0.0,0.0,1.0,9.079232846374815e-07,0.0008238684852449075,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_271008,synthetic_bsds,,,,0.0,0.0,0.0,1.0,3.0247726415959193e-10,1.4370966054226608e-05,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_274007,synthetic_bsds,,,,0.0,0.0,0.0,1.0,5.340589520524412e-06,0.0020093014445777737,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_286092,synthetic_bsds,,,,0.0,0.0,0.0,1.0,6.001331370606014e-07,0.0007543041825791812,0,4
