Features,dim,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,bad_recall,bad_f1,AUC_image_bootstrap_95
clip,1024,0.9495091164095373,0.01818181818181818,0.008695652173913044,0.011764705882352941,0.6644193157364113,0.5045968354773924,0.9656845055181724,0.9734708624068021,0.5055–0.9719
dino,768,0.9562412342215989,0.03076923076923077,0.034782608695652174,0.03265306122448979,0.7547988128632378,0.5234256765422599,0.9714488202658591,0.9773438713927061,0.5721–0.9565
stats,24,0.7929873772791023,0.0770293609671848,0.09267080745341615,0.0290448343079922,0.6588410290050168,0.5234019187594136,0.8046962075403487,0.875965295679929,0.5394–0.8792
fusion,1816,0.9419354838709676,0.013953488372093023,0.02608695652173913,0.01818181818181818,0.7195350582604529,0.5120772946859903,0.9572697522206639,0.9697985980861048,0.5646–0.9733
stats_lq,10,0.8103786816269285,0.0026478814876204288,0.21739130434782608,0.005005276647067692,0.509693326294987,0.5765836183032079,0.8237376491167246,0.8891504744788256,0.3153–0.7851
fusion_lq,906,0.8014025245441795,0.025,0.008695652173913044,0.012903225806451613,0.559914014914698,0.5055555555555555,0.817606358111267,0.8386325097311762,0.4466–0.6233
